English,Bulgarian
car,кола
show,шоу
found,намерени
huh,хах
same,един и същ
boy,момче
care,грижа
getting,получаване
move,ход
hi,здрасти
next,следващия
woman,жена
try,опитвам
baby,бебе
trying,опитвайки
mind,ум
friend,приятел
real,истински
yourself,себе си
best,най-доброто
went,отиде
many,много
hold,задръжте
job,работа
saw,трион
wanna,искам
mom,мама
morning,сутрин
together,заедно
room,стая
family,семейство
men,мъже
door,врата
head,глава
seen,видяно
without,без
ready,готов
heard,чух
already,вече
most,повечето
live,на живо
both,и двете
actually,всъщност
knew,Знаех
once,веднъж
miss,мис
run,тичам
pretty,красива
took,взеха
idea,идея
guess,познайте
whole,цяло
called,Наречен
use,използване
yet,още
used,използвани
brother,брат
wife,съпруга
bring,донеси
start,започнете
while,докато
phone,телефон
killed,убит
meet,Среща
happy,щастлив
days,дни
matter,материя
hard,твърд
open,отворен
gone,си отиде
tonight,Тази вечер
um,хм
since,от
everyone,всеки
such,такива
end,край
year,година
saying,казвайки
die,умирам
alone,сам
ah,ах
myself,себе си
ago,преди
problem,проблем
face,лице
tomorrow,утре
bit,малко
few,малцина
looks,изглежда
anyone,всеки
excuse,извинение
friends,приятели
play,играя
turn,завой
until,до
school,училище
hope,надежда
lost,изгубен
watch,гледам
hand,ръка
five,пет
ai,ai
says,казва
wants,иска
also,също
case,случай
business,бизнес
TRUE,ВЯРНО
heart,сърце
soon,скоро
second,второ
damn,по дяволите
kid,хлапе
worry,тревожи се
police,полиция
sit,седни
shut,затвори
each,всеки
probably,вероятно
everybody,всички
minute,минута
working,работещ
under,под
thinking,мислене
later,по късно
having,имайки
exactly,точно
part,част
beautiful,красив
music,музика
kids,деца
crazy,луд
whatever,както и да е
death,смърт
check,проверка
minutes,минути
stuff,неща
four,четири
hit,удари
late,късен
eat,Яжте
doctor,лекар
knows,знае
easy,лесно
water,вода
hands,ръце
happen,случи се
young,млад
far,далеч
somebody,някой
deal,сделка
gave,даде
bye,чао
eyes,очи
pay,заплащане
change,промяна
person,човек
inside,вътре
forget,забрави
hmm,хм
point,точка
taking,приемане
cause,причина
fire,огън
means,означава
close,близо
drink,питие
fight,битка
mine,моята
makes,прави
word,дума
hurt,боли
chance,шанс
set,комплект
times,пъти
number,номер
afraid,страхувам се
supposed,предполагаем
making,правене
its,неговото
body,тяло
nobody,Никой
shot,изстрел
cut,разрез
story,история
stand,стойка
high,Високо
sleep,сън
asked,попита
against,срещу
different,различен
blood,кръв
rest,Почивка
half,половината
anyway,така или иначе
whoa,уау
side,страна
wish,желание
read,Прочети
comes,идва
ass,дупе
party,партия
gun,пистолет
hours,часа
mr,г-н
trust,Доверие
fun,забавление
least,най-малко
waiting,очакване
shall,ще
daughter,дъщеря
week,седмица
game,игра
war,война
quite,доста
captain,капитан
important,важно
speak,говори
moment,момент
city,град
behind,отзад
truth,истина
break,прекъсвам
children,деца
though,все пак
sister,сестра
walk,разходка
husband,съпруг
Dr.,д-р
playing,играя
gets,получава
goes,отива
town,град
line,линия
question,въпрос
free,Безплатно
six,шест
yours,твоя
dear,скъпа
anymore,вече
girls,момичета
lady,дама
between,между
almost,почти
welcome,добре дошли
reason,причина
married,женен
started,започна
power,мощност
ha,ха
trouble,неприятности
honey,пчелен мед
child,дете
boys,момчета
office,офис
met,срещнах
lord,господарю
full,пълен
cool,готино
clear,ясно
couple,двойка
died,починал
save,спаси
mm,мм
telling,разказване
able,способен
women,Жени
tried,опитах
alive,жив
em,ем
wow,Еха
brought,донесе
either,или
answer,отговор
send,изпрати
front,отпред
safe,безопасно
hate,омраза
light,светлина
dog,куче
team,екип
stupid,глупав
sighs,въздишки
king,крал
outside,навън
news,Новини
needs,потребности
funny,забавен
black,черен
months,месеца
seems,Изглежда
ahead,напред
pick,избирам
buy,Купува
hot,горещ
plan,план
bed,легло
bitch,кучка
order,поръчка
hurry,побързайте
sometimes,понякога
country,държава
along,заедно
white,бяло
running,бягане
promise,обещание
anybody,някой
shoot,стреля
hour,час
Jesus,Исус
lose,губя
food,храна
Mrs.,г-жа
fact,факт
book,Книга
feeling,чувство
living,жив
sent,изпратено
red,червен
taken,взета
become,да стане
leaving,напускане
dinner,вечеря
control,контрол
lives,живее
air,въздух
chuckles,смее се
human,човек
drive,шофиране
sick,болен
perfect,перфектен
touch,докосване
special,специален
sounds,звуци
himself,себе си
boss,шеф
daddy,татко
company,компания
perhaps,може би
earth,земя
sort,вид
scared,уплашен
laughing,смее се
serious,сериозно
sound,звук
ten,десет
top,Горна част
past,минало
small,малък
hang,виси
follow,последвам
law,закон
asking,питам
president,президент
fast,бърз
luck,късмет
possible,възможен
pull,дръпнете
parents,родители
happens,случва се
street,улица
cold,студ
glad,радвам се
till,до
laughs,смее се
win,печеля
million,милиона
hair,коса
seem,Изглежда
known,известен
poor,беден
murder,убийство
sweet,сладка
sense,смисъл
master,майстор
catch,улов
lie,лъжа
ship,кораб
speaking,говорене
gentlemen,господа
words,думи
voice,глас
dream,мечта
meeting,среща
lucky,късметлия
finally,накрая
hospital,болница
uncle,чичо
bet,залог
drop,изпускайте
alright,добре
sign,знак
Sam,Сам
calling,обаждане
secret,тайна
dance,танцувам
somewhere,някъде
weeks,седмици
step,стъпка
sex,секс
others,други
eye,око
clean,чиста
moving,движещ се
straight,прав
dude,пич
longer,повече време
write,пишете
less,по-малко
piece,парче
careful,внимателен
figure,фигура
worked,работеше
future,бъдеще
felt,чувствах
return,връщане
fall,падане
rather,по-скоро
quiet,тихо
beat,победи
coffee,кафе
ladies,дами
date,дата
road,път
takes,взема
general,общ
questions,въпроси
choice,избор
looked,погледна
state,състояние
feet,крака
given,дадено
security,сигурност
seeing,виждайки
learn,уча
evening,вечер
worth,заслужава си
Frank,Франк
fault,грешка
none,нито един
calm,спокоен
throw,хвърлям
loved,обичан
seven,седем
explain,обясни
wake,събуждам
turned,се обърна
I'M,АЗ СЪМ
officer,офицер
changed,променен
happening,случва се
picture,снимка
quick,бързо
kidding,шегувам се
absolutely,абсолютно
wonderful,чудесен
report,отчет
giving,даване
agent,агент
land,земя
ride,езда
mad,луд
class,клас
works,върши работа
strong,силен
ma'am,госпожо
system,система
pain,болка
weird,странно
dark,тъмно
needed,необходими
building,сграда
ones,нечий
wonder,чудя се
early,рано
Michael,Майкъл
worse,по-лошо
missing,липсва
song,песен
pass,пас
chief,главен
unless,освен ако
mouth,устата
act,акт
attack,атака
buddy,приятел
information,информация
screaming,крещене
yesterday,вчера
train,влак
mistake,грешка
protect,защитавам
watching,гледам
meant,означаваше
darling,скъпа
mmm,ммм
kept,запазени
kiss,целувка
suppose,предполагам
worried,притеснен
amazing,невероятно
eight,осем
caught,уловен
finish,завършек
message,съобщение
TV,телевизор
tired,изморен
busy,зает
blue,син
York,Йорк
bill,законопроект
Mike,Майк
court,съдебна зала
army,армия
born,роден
lead,водя
lying,лъжа
movie,филм
ring,пръстен
floor,етаж
radio,радио
evidence,доказателства
Christmas,Коледа
bag,чанта
month,месец
except,с изключение
goodbye,Довиждане
handle,дръжка
wedding,сватба
strange,странно
imagine,Представете си
Tom,Том
expect,очаквам
birthday,рожден ден
entire,цяла
forever,завинаги
rock,рок
cover,Покрийте
sell,продавам
broke,счупен
middle,средата
forgive,прощавам
American,американски
thinks,мисли
swear,Закълни се
terrible,ужасно
near,близо до
history,история
hotel,хотел
across,през
completely,напълно
honor,чест
ground,земята
anywhere,навсякъде
box,кутия
seriously,сериозно
wear,износване
dangerous,опасно
totally,напълно
decided,реши
fear,страх
miles,мили
station,станция
age,възраст
force,сила
la,ла
attention,внимание
clothes,дрехи
cell,клетка
goddamn,по дяволите
table,маса
situation,ситуация
short,къс
blow,удар
fair,справедливо
boat,лодка
marry,ожени се
instead,вместо
round,кръгъл
key,ключ
Christ,Христос
certainly,със сигурност
ran,тичаше
definitely,определено
talked,говориха
during,по време на
paid,платени
sun,слънце
killing,убиване
peace,мир
deep,Дълбок
simple,просто
single,единичен
ball,топка
space,пространство
charge,зареждане
stick,пръчка
test,тест
join,присъединяване
smart,умен
count,броя
eh,ех
using,използвайки
lovely,прекрасно
sitting,седнал
crime,престъпност
brain,мозък
prison,затвор
fly,летя
government,правителство
cop,ченге
list,списък
relax,отпуснете се
mama,мама
continues,продължава
horse,кон
spend,харча
grunts,сумтене
personal,лични
major,майор
normal,нормално
present,настояще
star,звезда
interesting,интересно
wall,стена
saved,запазени
fool,глупак
mark,марка
detective,детектив
crying,плач
fighting,борба
forgot,забравих
finished,завършен
ice,лед
sing,пея
cause,причина
fix,поправя
hide,Крия
offer,оферта
gold,злато
club,клуб
enjoy,наслади се
missed,пропуснато
record,запис
won,Спечелени
bastard,копеле
accident,злополука
paper,хартия
service,обслужване
bank,банка
fuckin,по дяволите
killer,убиец
wearing,носене
bar,бар
certain,определени
cops,ченгета
area,площ
soul,душа
stopped,спряна
bought,закупени
respect,уважение
group,група
surprise,изненада
forward,напред
proud,горд
letter,писмо
machine,машина
lunch,обяд
position,позиция
Ben,Бен
standing,стоящ
fish,риба
idiot,идиот
English,Английски
fell,падна
queen,кралица
smell,миризма
third,трети
slow,бавен
holy,свят
trip,пътуване
plane,самолет
girlfriend,приятелка
park,паркирам
quickly,бързо
agree,Съгласен
lieutenant,лейтенант
grunting,сумтене
calls,обаждания
contact,контакт
card,карта
window,прозорец
James,Джеймс
private,частен
mess,бъркотия
interested,заинтересовани
Harry,Хари
broken,счупен
tough,труден
seconds,секунди
within,в рамките на
share,дял
public,публичен
field,поле
seat,седалка
shh,Шшт
Aah,Ааа
feels,чувства
green,зелено
scene,сцена
drunk,пиян
pleasure,удоволствие
film,филм
French,Френски
problems,проблеми
rich,богат
gasps,задъхвам се
afternoon,следобед
sea,море
north,север
church,църква
hungry,гладен
don't,недей
south,юг
colonel,полковник
appreciate,оценявам
starting,стартиране
marriage,брак
honest,честен
camera,камера
realize,осъзнавам
dying,умиращ
spent,изразходвани
walking,ходене
truck,камион
hundred,сто
e,д
whether,дали
nine,девет
computer,компютър
difficult,труден
dress,рокля
evil,зло
neither,нито едно
moved,преместен
grab,грабвам
apartment,апартамент
angry,ядосан
sad,тъжен
Bob,Боб
upon,върху
mission,мисия
prove,докажи
teach,преподавам
tea,чай
laugh,смея се
cash,пари в брой
sake,саке
boyfriend,гадже
impossible,невъзможен
bloody,кървав
low,ниско
planet,планета
lawyer,адвокат
judge,съдия
quit,напусни
ray,лъч
push,тласък
carry,носят
Henry,Хенри
partner,партньор
involved,участващи
lived,живял
doubt,съмнение
visit,посещение
college,колеж
foot,крак
glass,стъклена чаша
cat,котка
likes,харесвания
art,изкуство
joke,шега
board,дъска
liked,харесван
rules,правила
store,магазин
obviously,очевидно
besides,Освен това
wind,вятър
loves,обича
fat,дебел
jump,скочи
double,двойно
holding,държане
cute,сладко
stuck,заседнал
cross,кръст
gift,подарък
island,остров
ow,ой
difference,разлика
Max,Макс
knock,чукам
bullshit,глупости
jail,затвор
accept,приемам
cry,плача
driving,шофиране
bear,мечка
relationship,връзка
thousand,хиляди
professor,професор
tree,дърво
Jimmy,Джими
whose,чийто
continue,продължи
magic,магия
especially,особено
dare,осмелявам се
reach,достигнат
owe,дължа
singing,пеене
congratulations,Честито
orders,поръчки
groans,стене
wrote,написа
decision,решение
often,често
arrest,арестуване
putting,поставяне
self,себе си
Nick,Ник
upset,разстроен
sleeping,спящ
weapon,оръжие
Jim,Джим
eating,храня се
asshole,задник
risk,риск
wine,вино
beer,Бира
guard,пазач
guns,пушки
favor,услуга
lock,ключалка
enemy,враг
Tony,Тони
listening,слушане
grand,грандиозен
named,на име
arms,обятия
bus,автобус
kick,ритник
beginning,начало
promised,обещано
ringing,звънене
victim,жертва
teacher,учител
worst,най-лошото
destroy,унищожавам
dirty,мръсен
gives,дава
dreams,мечти
river,река
arm,ръка
search,Търсене
support,поддържа
suit,костюм
bell,звънец
Mrs,г-жа
Danny,Дани
crap,глупости
staying,оставане
ho,хо
west,запад
bomb,бомба
hole,дупка
patient,търпелив
choose,избирам
Alex,Алекс
level,ниво
department,отдел
Yep,да
grow,растат
press,Натиснете
shoes,обувки
became,стана
figured,разбрах
address,адрес
turns,завои
moon,луна
code,код
picked,избрани
burn,горя
throat,гърлото
escape,бягство
crowd,тълпа
sergeant,сержант
smoke,дим
everywhere,навсякъде
books,книги
shop,магазин
engine,двигател
usually,обикновено
type,Тип
heaven,рая
roll,ролка
mum,мама
mate,приятел
begin,започвам
dick,пишка
hero,герой
bunch,куп
immediately,веднага
locked,заключено
shouting,викане
battle,битка
flight,полет
price,цена
passed,премина
huge,огромен
gas,газ
dollars,долара
names,имена
track,песен
learned,научих
rings,пръстени
drugs,лекарства
spot,място
summer,лятото
action,действие
match,съвпада
copy,копие
weapons,оръжия
blame,обвинявам
ourselves,себе си
twice,два пъти
san,сан
experience,опит
rid,отървавам се
innocent,невинен
brothers,братя
final,финал
duty,задължение
majesty,величие
further,по-нататък
mommy,мама
fit,годни
steal,крадат
fired,уволнен
London,Лондон
race,раса
keeping,съхраняемост
closed,затворен
bigger,по-голям
Paris,Париж
pop,поп
memory,памет
upstairs,на горния етаж
lots,много
drinking,пиене
nervous,нервен
smile,Усмихни се
themselves,себе си
helping,помагайки
decide,реши
Sarah,Сара
ways,начини
bother,притеснявам
leg,крак
commander,командир
stole,открадна
pictures,снимки
hiding,укриване
allow,позволява
village,село
empty,празна
Billy,Били
feelings,чувства
van,микробус
notice,забележете
favorite,любими
kitchen,кухня
prince,принц
allowed,позволен
legs,крака
waste,отпадъци
surprised,изненадан
reading,четене
built,построена
apart,на части
bird,птица
Lee,Лий
complete,пълен
doc,док
admit,признавам
guilty,виновен
keys,ключове
suddenly,внезапно
build,изграждане
herself,себе си
grace,благодат
Whoo,Уау
awesome,страхотно
sweetheart,скъпа
starts,започва
above,по-горе
nose,нос
danger,опасност
chicken,пиле
losing,губещ
drug,лекарство
lay,лежи
form,форма
aunt,леля
neck,врата
following,следното
played,изигран
writing,писане
fresh,свежи
shooting,стрелба
mention,споменавам
sky,небе
Johnny,Джони
pressure,налягане
military,военни
witness,свидетел
taste,вкус
video,видео
screams,писъци
ex,пр
fucked,прецакан
helped,помогна
medical,медицински
extra,екстра
cheering,аплодисменти
spirit,дух
warm,топло
east,изток
Richard,Ричард
energy,енергия
tight,стегнат
closer,по близо
wondering,чудейки се
indeed,наистина
plans,планове
heavy,тежък
crew,екипаж
breakfast,закуска
faith,вяра
gay,гей
places,места
suspect,заподозрян
apparently,очевидно
target,мишена
bathroom,баня
otherwise,в противен случай
dogs,кучета
folks,хора
breathing,дишане
raise,повишавам
sold,продаден
Tommy,Томи
pregnant,бременна
madam,Мадам
director,директор
band,банда
speed,скорост
earlier,по-рано
pants,панталони
interest,интерес
hoping,надявайки се
according,Според
keeps,пази
flying,летене
breathe,дишам
whoever,който и да е
command,команда
cost,цена
acting,действащ
lights,светлини
Jane,Джейн
you're,ти си
Steve,Стив
camp,лагер
wild,див
consider,обмисли
bridge,мост
knife,нож
deserve,заслужават
file,файл
emergency,спешен случай
showed,показан
arrived,пристигна
however,въпреки това
willing,желаещи
beyond,отвъд
Jake,Джейк
treat,лечение
super,супер
ridiculous,нелепо
states,държави
rain,дъжд
devil,дявол
faster,по-бързо
stone,камък
rule,правило
skin,кожата
awful,ужасно
hat,шапка
seemed,изглеждаше
blind,сляп
nature,природа
animal,животно
conversation,разговор
laughter,смях
stage,сцена
excellent,отлично
language,език
tape,лента
beach,плаж
itself,себе си
corner,ъгъл
Roger,прието
asleep,заспал
pulled,дръпна
plenty,много
da,да
written,написана
shame,срам
driver,шофьор
fbi,ФБР
weekend,уикенд
Ms.,Г-ца.
cheers,наздраве
hall,зала
gotten,получено
justice,справедливост
German,Немски
princess,принцеса
client,клиент
don,дон
rose,роза
silly,глупав
responsible,отговорен
simply,просто
apologize,извинете се
bottle,бутилка
dr,д-р
knowing,знаейки
ought,би трябвало
hm,хм
common,често срещани
local,местен
walked,ходеше
Bobby,Боби
beg,помолвам
heads,глави
main,основен
correct,правилно
murdered,убит
tells,разказва
plus,плюс
necessary,необходимо
bottom,отдолу
Eddie,Еди
angel,ангел
leader,лидер
study,проучване
sheriff,шериф
due,в следствие
cup,чаша
soldier,войник
large,голям
indistinct,неясно
Chris,Крис
account,сметка
lies,лъжи
powerful,мощен
Charles,Чарлз
note,Забележка
taught,преподавани
possibly,евентуално
breath,дъх
cars,автомобили
breaking,счупване
pack,опаковка
shirt,риза
opportunity,възможност
held,Държани
united,обединени
operation,операция
animals,животни
strength,сила
hearing,слух
monster,чудовище
papers,документи
soldiers,войници
clearly,ясно
lied,излъга
leaves,листа
somehow,някак си
outta,извън
loud,силен
hanging,обесване
excited,възбуден
stories,истории
pardon,Моля
spoke,говореше
bringing,привеждане
sight,гледка
numbers,числа
balls,топки
agreed,съгласен
famous,известен
checked,проверено
beauty,красота
Adam,Адам
stars,звезди
survive,оцеляват
trick,трик
fellow,Колега
cousin,братовчед
feed,фураж
sweetie,скъпа
Robert,Робърт
advice,съвет
hardly,едва ли
sword,меч
greatest,най велик
size,размер
dropped,изпусна
panting,задъхан
cook,готвач
Chinese,Китайски
ghost,призрак
base,база
access,достъп
strike,стачка
flowers,цветя
trial,пробен период
dumb,тъп
training,обучение
plays,пиеси
serve,сервирам
teeth,зъби
several,няколко
freedom,свобода
center,център
national,национален
lab,лаборатория
program,програма
nor,нито
meat,месо
games,игри
truly,наистина
travel,пътуване
whom,на когото
signal,сигнал
motherfucker,копеле
shows,показва
although,макар че
planning,планиране
investigation,разследване
nowhere,никъде
goin',отивам
records,записи
bullet,куршум
beeping,звуков сигнал
science,наука
release,освобождаване
belong,принадлежат
papa,татко
opens,отваря
destroyed,унищожени
credit,кредит
Russian,Руски
bodies,тела
twenty,двадесет
paying,плащайки
dancing,танцуване
gate,порта
nearly,почти
practice,практика
dressed,облечен
Martin,Мартин
career,кариера
health,здраве
post,пост
Spanish,испански
natural,естествено
Walter,Уолтър
groaning,пъшкане
onto,върху
chair,Председател
market,пазар
remain,остават
alarm,аларма
noticed,забелязано
restaurant,ресторант
milk,мляко
minister,министър
distance,разстояние
fake,фалшив
criminal,престъпник
letting,отдаване под наем
matters,въпроси
cake,торта
understood,разбрах
aware,наясно
nuts,ядки
discuss,обсъждам
dry,суха
prepare,приготви се
turning,обръщане
among,между
fill,запълвам
grandma,баба
finding,находка
mountain,планина
coach,треньор
brown,кафяво
older,по-стари
pray,молете се
prepared,подготвени
horrible,ужасен
bucks,пари
Anna,Анна
biggest,най-големият
easier,по-лесно
bro,братле
doin',правиш
unit,мерна единица
concerned,обезпокоен
cream,сметана
ends,завършва
pretend,преструвам се
research,изследвания
condition,състояние
heat,топлина
proof,доказателство
arrested,арестуван
honestly,честно казано
purpose,предназначение
tie,вратовръзка
project,проект
Daniel,Даниел
original,оригинален
suicide,самоубийство
hurts,Боли
view,изглед
manager,мениджър
mail,поща
perfectly,перфектно
weak,слаб
suggest,предполагам
nurse,медицинска сестра
universe,вселена
incredible,невероятен
student,студент
Kim,Ким
meaning,значение
recognize,разпознава
birds,птици
towards,към
ours,нашият
desk,бюро
heading,заглавие
ticket,билет
vote,гласуване
cards,карти
defense,защита
Kevin,Кевин
Scott,Скот
headed,озаглавен
Rachel,Рейчъл
draw,рисувам
comfortable,удобно
oil,масло
focus,фокус
Jerry,Джери
afford,си позволявам
yelling,крещи
bite,хапя
stolen,откраднат
pal,приятел
ideas,идеи
male,мъжки
Ugh,уф
loose,разхлабен
insane,луд
screw,винт
female,женски пол
block,блок
ugly,грозен
Amy,Ейми
believed,вярваше
re,повторно
Eric,Ерик
fantastic,фантастично
Ohh,ох
forgotten,забравен
opening,отваряне
guest,гост
doors,врати
selling,продажба
Andy,Анди
Ryan,Райън
pieces,парчета
inspector,инспектор
color,цвят
prefer,предпочитам
lift,вдигам
followed,последван
safety,безопасност
photo,снимка
dig,копай
grown,пораснал
damage,щета
Kate,Кейт
total,обща сума
England,Англия
babe,маце
split,разделяне
William,Уилям
soft,мека
opinion,мнение
failed,се провали
roof,покрив
exist,съществуват
brilliant,брилянтен
falling,падане
pig,прасе
based,базиран
Thomas,Томас
invited,поканен
threw,хвърли
pool,басейн
gang,банда
brave,смел
ended,приключи
heh,той Х
wash,мия
lately,напоследък
mayor,кмет
sending,изпращане
Dan,Дан
created,създадено
unfortunately,за жалост
Brian,Браян
realized,осъзнах
character,характер
ed,изд
settle,установявам се
Pete,Пит
fingers,пръсти
noise,шум
finger,пръст на ръката
snow,сняг
movies,филми
staff,персонал
Nope,не
shake,клатя
ordered,поръчан
Sunday,неделя
expecting,очаквайки
storm,буря
create,създавам
weight,тегло
shower,душ
data,данни
fate,съдба
responsibility,отговорност
usual,обичайно
nah,нах
Dave,Дейв
lonely,самотен
mister,господин
path,път
opened,отвори
lines,линии
kinda,горе-долу
Friday,петък
page,страница
issue,проблем
property,Имот
jealous,ревнив
trade,търговия
remind,напомням
surgery,операция
letters,писма
began,започна
castle,замък
horses,коне
speech,реч
Japanese,японски
covered,покрита
thousands,хиляди
stayed,остана
nonsense,глупости
applause,аплодисменти
cares,грижи
grandpa,дядо
sugar,захар
hill,хълм
fan,вентилатор
lake,езеро
barely,едва
sees,вижда
naked,гол
process,процес
British,британски
streets,улици
location,местоположение
signed,подписан
member,член
suck,смучат
weather,метеорологично време
example,пример
received,получени
harm,вреда
stops,спира
horn,рог
whenever,когато и да е
style,стил
tiny,мъничък
chattering,бърборене
tongue,език
France,Франция
brings,носи
audience,публика
disappeared,изчезна
slept,заспа
chest,гръден кош
buried,погребан
crash,катастрофа
wet,мокър
Jason,Джейсън
sooner,по-рано
forced,принуден
bright,ярък
bones,кости
social,социални
liar,лъжец
interview,интервю
subject,предмет
speaks,говори
Simon,Саймън
thoughts,мисли
assume,предполагам
enter,влизам
loss,загуба
surely,със сигурност
spread,разпространение
introduce,въвеждам
Claire,Клеър
expected,очакван
birth,раждане
map,карта
theory,теория
recently,наскоро
repeat,повторете
spare,резервен
society,общество
handsome,красив
Saturday,Събота
personally,лично
harder,по-трудно
permission,разрешение
pocket,джоб
students,студенти
Matt,Мат
genius,гений
add,добавете
likely,вероятно
cheese,сирене
clock,часовник
medicine,лекарство
ears,уши
gentleman,джентълмен
Santa,Дядо Коледа
fancy,фантазия
Larry,Лари
Arthur,Артър
season,сезон
returned,се завърна
coat,палто
narrator,разказвач
details,подробности
warning,внимание
showing,показване
flat,апартамент
secretary,секретар
silver,сребро
saving,спестяване
familiar,познат
rough,груб
slowly,бавно
funeral,погребение
closes,затваря
trees,дървета
joy,радост
runs,бяга
airport,летище
legal,правен
downstairs,на долния етаж
attorney,адвокат
connection,Връзка
rat,плъх
ill,аз ще
points,точки
secrets,тайни
knocking,чукане
woods,гори
ancient,древен
Ted,Тед
dean,декан
fought,се бори
Rome,Рим
Jeff,Джеф
discovered,открити
memories,спомени
victims,жертви
humans,хора
contract,договор
silence,тишина
cancer,рак
foreign,чуждестранен
eggs,яйца
Alan,Алън
y',да
hunt,ловувам
answers,отговори
Carl,Карл
powers,правомощия
ocean,океан
drinks,напитки
Lisa,Лиза
stomach,стомаха
farm,ферма
paint,боя
garden,градина
complicated,сложно
regret,разкайвам се
rush,втурвам се
DNA,ДНК
gasping,задъхвайки се
doctors,лекари
clears,изчиства
Annie,Ани
chuckling,кикотене
changes,промени
square,квадрат
freak,изрод
rise,издигам се
football,футбол
growing,нарастващ
c,° С
officers,офицери
challenge,предизвикателство
hired,нает
hidden,скрит
grew,нарасна
easily,лесно
members,членове
gods,богове
burning,парене
tickets,билети
community,общност
spring,пролет
Clark,Кларк
parts,части
filled,запълнена
nights,нощувки
higher,по-висок
rent,под наем
revenge,отмъщение
Louis,Луис
bless,благославям
attacked,нападнат
reality,реалност
threat,заплаха
bedroom,спалня
Carter,Картър
forest,гора
Emily,Емили
caused,причинени
chuck,патронник
bang,трясък
walls,стени
model,модел
grandfather,дядо
lower,нисък
zero,нула
winter,зимата
ate,яде
scare,плаша
pair,двойка
reasons,причини
Phil,Фил
request,искане
Alice,Алис
including,включително
butt,дупето
buying,купуване
Washington,Вашингтон
insurance,застраховка
site,сайт
professional,професионален
chatter,бърборене
basically,основно
source,източник
assistant,асистент
goodness,доброта
planned,планирано
rights,права
piss,пикая
dealing,справяне
chase,гонитба
led,водени
bread,хляб
obvious,очевидно
deliver,доставям
shots,изстрели
lesson,урок
Lucy,Люси
sudden,внезапно
boring,скучно е
cases,случаи
switch,превключвател
fortune,богатство
priest,свещеник
boom,бум
dating,запознанства
manage,управлявам
divorce,развод
hook,кука
exciting,вълнуващо
journey,пътуване
monkey,маймуна
royal,кралски
pounds,паунда
mercy,милост
Luke,Лука
thief,крадец
proper,правилно
ruined,съсипан
murderer,убиец
plant,растение
yellow,жълто
happiness,щастие
finds,намира
pilot,пилот
player,играч
amount,количество
jobs,работни места
crack,пукнатина
mentioned,споменати
knowledge,знания
Smith,Смит
files,файлове
bleeding,кървене
dies,умира
shape,форма
Joey,Джоуи
gosh,боже
pleased,доволен
forces,сили
cheap,евтино
event,събитие
mood,настроение
watched,Гледах
